SSN,lname,fname,hname,address,city,state,zip,country,tel,dob,mstatus,dmarri,ddate1,ddate2,ddate3,dateleft,Semester_Withdrew,MidSem_Withdrew,branch,notescomments,ExpectedCompletionDate,UpdatesforECD
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,h/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
312-00-9210,Abadi,Shmuel C.,Dovid,1 Omni Court,Lakewood,NJ,08701,,(101)740-7892,5/13/1997,,,,,,,,N,0,,202001,
